OrdemBancaria,DatadoPagamento,DocumentodeLiquidacao,CodigoUnidadeGestora,NomeUsuarioQueCriou,Finalidade,Valor
2023160101OB00433,10/2/23,2023160101DL000554,160101,ALIANE MARILIA SILVA DE SOUZA,"PAGAMENTO REFERENTE A DIÁRIA, PRD 92398, PERIODO DE 13/02/23, CASTANHAL/BELÉM.",R$ 118.69
2023160101OB00434,10/2/23,2023160101DL000578,160101,ALEXSEYN JOHNSON DE ARAUJO RODRIGUES,PAG. DIÁRIAS PRD 92347 PERÍODO 10/02/2023 A 14/02/2023 CAMETA/BELÉM/CAMETA,"R$ 1,068.21"
2023160101OB00435,10/2/23,2023160101DL000572,160101,FABRICIO FARIAS MACHADO,"PAGAMENTO REFERENTE A DIÁRIA, PDR 92376, PERÍODO DE 11/02/2023 À 11/02/2023. TRAJETO CASTANHAL/BELÉM.",R$ 118.69
2023160101OB00436,10/2/23,2023160101DL000579,160101,FABIO KLEYTON DA SILVA MIRANDA,Conceder quatro diárias e meia ao servidor para participar do lançamento do programa Pacto Pela Alfabetização e início do Ano letivo.,"R$ 1,305.59"
2023160101OB00437,10/2/23,2023160101DL000577,160101,FABRICIO FARIAS MACHADO,"PAGAMENTO REFERENTE A DIÁRIA, PDR 92474, PERÍODO DE 10/02/2023 À 10/02/2023. TRAJETO CASTANHAL/BELÉM.",R$ 118.69
2023160101OB00438,10/2/23,2023160101DL000561,160101,ALIANE MARILIA SILVA DE SOUZA,"PAGAMENTO REFERENTE A DIÁRIA, PRD 92394, PERIODO DE 11/02/23, CASTANHAL/BELÉM.",R$ 118.69
2023160101OB00439,10/2/23,2023160101DL000580,160101,FABIO KLEYTON DA SILVA MIRANDA,Conceder quatro diárias e meia ao servidor para participar do lançamento do programa Pacto Pela Alfabetização e início do Ano letivo.,"R$ 1,068.21"
2023160101OB00440,10/2/23,2023160101DL000575,160101,FABRICIO FARIAS MACHADO,"PAGAMENTO REFERENTE A DIÁRIA, PDR 92463, PERÍODO DE 10/02/2023 À 14/02/2023. TRAJETO MONTE ALEGRE/BELÉM.","R$ 1,068.21"
2023160101OB00441,10/2/23,2023160101DL000581,160101,ALEXSEYN JOHNSON DE ARAUJO RODRIGUES,PAG. DIÁRIAS PRD 92355 PERÍODO 11/02/2023 A 11/02/2023 ABAETETUBA/BELÉM/ABAETETUBA,R$ 118.69
2023160101OB00442,10/2/23,2023160101DL000582,160101,FABIO KLEYTON DA SILVA MIRANDA,Conceder quatro diárias e meia ao servidor para participar do lançamento do programa Pacto Pela Alfabetização e início do Ano letivo.,"R$ 1,068.21"
2023160101OB00443,10/2/23,2023160101DL000583,160101,EULLER ADRIANO QUEIROZ LIMA,"Pagamento referente aos serviços de estocagem, referente ao mês de Dezembro de 2022, Nota fiscal 102, Contrato 047/20.","R$ 223,300.00"
2023160101OB00444,10/2/23,2023160101DL000586,160101,ROSEMARY SANTOS DOS REIS,"PAGTO REF.DIARIA, PRD N 92379, PORTARIA N 55905/2023",R$ 118.69
2023160101OB00445,10/2/23,2022160101DL000018,160101,TATIANE IBIAPINA TEIXEIRA,"PGTO NF:1476/22,27º MEDIÇÃO, DOS SERVIÇOS DE CONSTRUÇÃO DE ESCOLA C/ 12 SALAS DE AULA, ITAITUBA/PA. CTO;09/18. T.C. PAR: 8329/13, AÇÃO: 204.619, MEC/FNDE/SEDUC. PAE:198033/22.","R$ 9,441.00"
2023160101OB00446,10/2/23,2023160101DL000586,160101,ROSEMARY SANTOS DOS REIS,#null,-R$ 118.69
2023160101OB00447,10/2/23,2023160101DL000589,160101,FABIO KLEYTON DA SILVA MIRANDA,PGTO de quatro diárias e meia ao servidor para participar do lançamento do programa Pacto Pela Alfabetização e início do Ano letivo.,"R$ 1,068.21"
2023160101OB00448,10/2/23,2023160101DL000590,160101,FABRICIO FARIAS MACHADO,"LIQUIDAÇÃO REFERENTE A DIÁRIA, PDR 92492, PERÍODO DE 13/02/2023 À 13/02/2023. TRAJETO CASTANHAL/BELÉM.",R$ 118.69
2023160101OB00449,10/2/23,2023160101DL000594,160101,ROSEMARY SANTOS DOS REIS,"PAGTO.REF. DIARIA, PRD N 92382, PORTARIA N 55906/2023",R$ 118.69
2023160101OB00450,10/2/23,2023160101DL000596,160101,FABIO KLEYTON DA SILVA MIRANDA,PGTO DE QUATRO E MEIA DIARIA,"R$ 1,068.21"
2023160101OB00451,10/2/23,2023160101DL000594,160101,ROSEMARY SANTOS DOS REIS,#null,-R$ 118.69
2023160101OB00452,10/2/23,2023160101DL000593,160101,FABRICIO FARIAS MACHADO,"PAGAMENTO REFERENTE A DIÁRIA, PDR 92435, PERÍODO DE 10/02/2023 À 14/02/2023. TRAJETO TUCURUI/BELÉM.","R$ 1,068.21"
2023160101OB00453,10/2/23,2023160101DL000598,160101,ALEXSEYN JOHNSON DE ARAUJO RODRIGUES,PAG. DIÁRIAS PRD 92431 PERÍODO 10/02/2023 A 14/02/2023 CONCEIÇÃO DO ARAGUAIA/BELÉM/CONCEIÇÃO DO ARAGUAIA,"R$ 1,068.21"
2023160101OB00454,10/2/23,2023160101DL000595,160101,ALIANE MARILIA SILVA DE SOUZA,"PAGAMENTO REFERENTE A DIÁRIA, PRD 92477, PERIODO DE 10/02/23, CASTANHAL/BELÉM.",R$ 118.69
2023160101OB00455,10/2/23,2023160101DL000599,160101,FABIO KLEYTON DA SILVA MIRANDA,PGTO DE TRÊS DIÁRIAS E MEIA,R$ 830.83
2023160101OB00456,10/2/23,2023160101DL000594,160101,ROSEMARY SANTOS DOS REIS,"PAG.REF. DIARIA, PRD N 92382, PORTARIA N 55906/2023",R$ 118.69
2023160101OB00457,10/2/23,2023160101DL000597,160101,PEDRO GOMES DA SILVA JUNIOR,ANUIDADE 2019 CONSED,"R$ 111,258.45"
2023160101OB00458,10/2/23,2023160101DL000587,160101,ALIANE MARILIA SILVA DE SOUZA,"PAGAMENTO REFERENTE A DIÁRIA, PRD 92459, PERIODO DE 10 A 14/02/23, XINGUARA/BELÉM.","R$ 1,068.21"
2023160101OB00459,10/2/23,2023160101DL000594,160101,ROSEMARY SANTOS DOS REIS,#null,-R$ 118.69
2023160101OB00460,10/2/23,2023160101DL000600,160101,FABIO KLEYTON DA SILVA MIRANDA,Pgto de quatro diárias e meia ao servidor para participar do lançamento do programa Pacto Pela Alfabetização e início do Ano letivo.,"R$ 1,068.21"
2023160101OB00461,10/2/23,2023160101DL000594,160101,ROSEMARY SANTOS DOS REIS,"PAGTO.REF. DIARIA, PRD N 92382, PORTARIA N 55906/2023",R$ 118.69
2023160101OB00462,10/2/23,2023160101DL000602,160101,ALEXSEYN JOHNSON DE ARAUJO RODRIGUES,PAG. DIÁRIAS PRD 92443 PERÍODO 11/02/2023 A 14/02/2023 CAPITÃO POÇO/BELÉM/CAPITÃO POÇO,R$ 830.83
2023160101OB00463,10/2/23,2023160101DL000535,160101,FABIANO MOURA DE VASCONCELOS,PGTO DIARIA CF PRD 92400 PORTARIA 55912/23,R$ 830.83
2023160101OB00464,10/2/23,2023160101DL000591,160101,FABIANO MOURA DE VASCONCELOS,PGTO DIARIA CF PRD 92437 PORTARIA 55931/23,"R$ 1,068.21"
2023160101OB00465,10/2/23,2023160101DL000604,160101,FABRICIO FARIAS MACHADO,"PAGAMENTO REFERENTE A DIÁRIA, PDR 92420, PERÍODO DE 11/02/2023 À 14/02/2023. TRAJETO CAPANEMA/BELÉM.",R$ 830.83
2023160101OB00466,10/2/23,2023160101DL000592,160101,FABIANO MOURA DE VASCONCELOS,PGTO DIARIA CF PRD 92365 PORTARIA 55899/23,"R$ 1,068.21"
2023160101OB00467,10/2/23,2023160101DL000603,160101,FABIO KLEYTON DA SILVA MIRANDA,PGTO DE MEIA DIÁRIA,R$ 118.69
2023160101OB00468,10/2/23,2023160101DL000605,160101,ROSEMARY SANTOS DOS REIS,"PAGTO.REF. DIARIA, PRD N 92496, PORTARIA N 55955/2023",R$ 118.69
