CodigoNotadeEmpenho,DatadoEmpenho,NomeUsuarioQueCriou,InstituicaoCodigoUnidadeGestora,NUMERO_PROCESSO,Valor Original,Valor Corrente,Saldo a Liquidar,Quantidade
2025160101NE000001,21/01/2025,ENILSON SANTANA MOREIRA BITTENCOURT,160101,2025/1531746,R$ 370.61,R$ 370.61,R$ 0.00,1.5
2025160101NE000002,21/01/2025,ENILSON SANTANA MOREIRA BITTENCOURT,160101,2025/1531747,R$ 431.01,R$ 431.01,R$ 0.00,1.5
2025160101NE000003,21/01/2025,ENILSON SANTANA MOREIRA BITTENCOURT,160101,2025/1531748,R$ 431.01,R$ 431.01,R$ 0.00,1.5
2025160101NE000004,21/01/2025,ENILSON SANTANA MOREIRA BITTENCOURT,160101,2025/1531752,R$ 431.01,R$ 431.01,R$ 0.00,1.5
2025160101NE000005,21/01/2025,ENILSON SANTANA MOREIRA BITTENCOURT,160101,2025/1531741,R$ 431.01,R$ 431.01,R$ 0.00,1.5
2025160101NE000006,23/01/2025,ENILSON SANTANA MOREIRA BITTENCOURT,160101,2024/59354,"R$ 1,739,388.01",R$ 0.00,R$ 0.00,0
2025160101NE000007,23/01/2025,ENILSON SANTANA MOREIRA BITTENCOURT,160101,2024/59686,"R$ 486,459.15",R$ 0.00,R$ 0.00,0
2025160101NE000008,23/01/2025,ENILSON SANTANA MOREIRA BITTENCOURT,160101,2024/65385,"R$ 173,583.73",R$ 0.00,R$ 0.00,0
2025160101NE000009,23/01/2025,ENILSON SANTANA MOREIRA BITTENCOURT,160101,2024/65430,"R$ 108,735.47",R$ 0.00,R$ 0.00,0
2025160101NE000010,23/01/2025,ENILSON SANTANA MOREIRA BITTENCOURT,160101,2024/65439,"R$ 301,150.35",R$ 0.00,R$ 0.00,0
2025160101NE000011,23/01/2025,ENILSON SANTANA MOREIRA BITTENCOURT,160101,2024/65452,"R$ 14,816.13",R$ 0.00,R$ 0.00,0
2025160101NE000012,23/01/2025,ENILSON SANTANA MOREIRA BITTENCOURT,160101,2024/59429,"R$ 190,099.00",R$ 0.00,R$ 0.00,-1
