OrdemBancaria,DatadoPagamento,DocumentodeLiquidacao,CodigoUnidadeGestora,NomeUsuarioQueCriou,Finalidade,Valor
2025160101OB00026,15/01/2025,2025160101DL000038,160101,ELIANE CRISTINA DA CUNHA LEAL,"PAGAMENTO EM RESTOS A PAGAR, REFERENTE A DEZEMBRO/2024, PELA PRESTAÇÃO DE SERVIÇO NAS ESCOLAS: E.E.E.F. MARIA IONE HENRIQUE; E.E.E.M. NILO DE OLIVEIRA; E.E. CONEGO CALADO; E. ANGELO CEZARINO; E. ANGELO CEZARINO - PRE ESCOLAR; E.E.E.F. ANTÔNIO A. RAMOS; E.E. JOÃO MOURA CARVALHO; E.E. MACÁRIO FELIPE E E.E. JOSÉ ELIAS EMIN",R$ 563.60
2025160101OB00027,15/01/2025,2025160101DL000041,160101,GENNYSON CLAUDIO PINTO BARBOSA,PAGTO.REF.NF.3267.CTO.001/24.01/08 A 31/08/24.,"R$ 743,628.50"
2025160101OB00028,15/01/2025,2025160101DL000015,160101,TATIANE IBIAPINA TEIXEIRA,"PGTO NF:512/2024, REF. A AQUISIÇÃO DE MERENDA ESCOLAR, PNAE-ENS. MÉDIO INTEGRAL, CTO.053/2024, REGIÃO DE INTEGRAÇÃO DO GUAJARÁ, PLANO INTERNO 1010008477C, ACAO 282.882, FUNC. PROGRAMATICA 16101.12.306.1511, PROJETO ATIVIDADE 8477. CONSIDERANDO O ATESTO DO FISCAL NA ENTREGA, CONFORMIDADE DO NCI E AUTORIZO SUPERIOR.","R$ 19,816.57"
2025160101OB00029,15/01/2025,2025160101DL000032,160101,TATIANE IBIAPINA TEIXEIRA,"PGTO NF:519/2024, REF. A AQUISIÇÃO DE MERENDA ESCOLAR, PNAE-EJA, CTO.053/2024, REGIÃO DE INTEGRAÇÃO DO GUAJARÁ, PLANO INTERNO 1010008477C, ACAO 282.882, FUNC. PROGRAMATICA 16101.12.306.1511, PROJETO ATIVIDADE 8477. CONSIDERANDO O ATESTO DO FISCAL NA ENTREGA, CONFORMIDADE DO NCI E AUTORIZO SUPERIOR.","R$ 12,575.82"
2025160101OB00030,15/01/2025,2024160101DL019258,160101,PAULO JORGE BRITO BORGES,PGT.REF.CONT.182;NF.27022; ENS.FUNDAM/OUTUBRO/24; RESTOS A PG PROCESSADOS.PREST.SERVIÇOS NAS ESCOLAS,"R$ 60,994.28"
2025160101OB00031,15/01/2025,2025160101DL000033,160101,TATIANE IBIAPINA TEIXEIRA,"PGTO NF:520/2024, REF. A AQUISIÇÃO DE MERENDA ESCOLAR, PNAE-ENS. MÉDIO, CTO.053/2024, REGIÃO DE INTEGRAÇÃO DO GUAJARÁ, PLANO INTERNO 1010008477C, ACAO 282.882, FUNC. PROGRAMATICA 16101.12.306.1511, PROJETO ATIVIDADE 8477. CONSIDERANDO O ATESTO DO FISCAL NA ENTREGA, CONFORMIDADE DO NCI E AUTORIZO SUPERIOR.","R$ 21,138.85"
2025160101OB00032,15/01/2025,2025160101DL000020,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DE DEZEMBRO/24 RESTO A PAGAR.,R$ 397.49
2025160101OB00033,15/01/2025,2024160101DL019257,160101,PAULO JORGE BRITO BORGES,PGT.REF.CONT.182;NF.27023; ENS.médio/OUTUBRO/24; RESTOS A PG PROCESSADOS.PREST.SERVIÇOS NAS ESCOLAS,"R$ 438,647.41"
2025160101OB00034,15/01/2025,2025160101DL000043,160101,GENNYSON CLAUDIO PINTO BARBOSA,PGTO..REF.NF.3665.CTO.001/24.01/09 A 30/09/24.,"R$ 525,875.51"
2025160101OB00035,15/01/2025,2025160101DL000035,160101,TATIANE IBIAPINA TEIXEIRA,"PGTO NF:509/2024, REF. A AQUISIÇÃO DE MERENDA ESCOLAR, PNAE-ENS. MÉDIO, CTO.053/2024, REGIÃO DE INTEGRAÇÃO DO GUAJARÁ, PLANO INTERNO 1010008477C, ACAO 282.882, FUNC. PROGRAMATICA 16101.12.306.1511, PROJETO ATIVIDADE 8477. CONSIDERANDO O ATESTO DO FISCAL NA ENTREGA, CONFORMIDADE DO NCI E AUTORIZO SUPERIOR.","R$ 20,617.13"
2025160101OB00036,15/01/2025,2025160101DL000037,160101,TATIANE IBIAPINA TEIXEIRA,"PGTO NF:510/2024, REF. A AQUISIÇÃO DE MERENDA ESCOLAR, PNAE-ENS. FUNDAMENTAL, CTO.053/2024, REGIÃO DE INTEGRAÇÃO DO GUAJARÁ, PLANO INTERNO 1010008477C, ACAO 282.882, FUNC. PROGRAMATICA 16101.12.306.1511, PROJETO ATIVIDADE 8477. CONSIDERANDO O ATESTO DO FISCAL NA ENTREGA, CONFORMIDADE DO NCI E AUTORIZO SUPERIOR.","R$ 79,461.93"
2025160101OB00037,15/01/2025,2025160101DL000039,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DE DEZEMBRO/24 RESTO A PAGAR.,"R$ 13,408.49"
2025160101OB00038,15/01/2025,2025160101DL000040,160101,TATIANE IBIAPINA TEIXEIRA,"PGTO NF:511/2024, REF. A AQUISIÇÃO DE MERENDA ESCOLAR, PNAE- AEE, CTO.053/2024, REGIÃO DE INTEGRAÇÃO DO GUAJARÁ, PLANO INTERNO 1010008477C, ACAO 282.882, FUNC. PROGRAMATICA 16101.12.306.1511, PROJETO ATIVIDADE 8477. CONSIDERANDO O ATESTO DO FISCAL NA ENTREGA, CONFORMIDADE DO NCI E AUTORIZO SUPERIOR.","R$ 9,658.45"
2025160101OB00039,15/01/2025,2025160101DL000044,160101,GENNYSON CLAUDIO PINTO BARBOSA,PAGTO..REF.NF.2531.CTO.001/24.16/06/09 A 30/06/24.,"R$ 415,817.82"
2025160101OB00040,15/01/2025,2025160101DL000031,160101,TATIANE IBIAPINA TEIXEIRA,"PGTO NF:518/2024, REF. A AQUISIÇÃO DE MERENDA ESCOLAR, PNAE-ENS. MÉDIO INTEGRAL, CTO.053/2024, REGIÃO DE INTEGRAÇÃO DO GUAJARÁ, PLANO INTERNO 1010008477C, ACAO 282.882, FUNC. PROGRAMATICA 16101.12.306.1511, PROJETO ATIVIDADE 8477. CONSIDERANDO O ATESTO DO FISCAL NA ENTREGA, CONFORMIDADE DO NCI E AUTORIZO SUPERIOR.","R$ 534,574.94"
2025160101OB00041,15/01/2025,2025160101DL000047,160101,GENNYSON CLAUDIO PINTO BARBOSA,PGTO..REF.NF.2209.CTO.001/24.01/06/09 A 30/06/24.,"R$ 405,116.81"
2025160101OB00042,15/01/2025,2024160101DL019268,160101,PAULO JORGE BRITO BORGES,PGT.REF.CONT.124;NF.27028; ENS.FUNDAM/OUTUBRO/24; RESTOS A PG PROCESSADOS.PREST.SERVIÇOS NAS ESCOLAS,"R$ 320,261.68"
2025160101OB00043,15/01/2025,2025160101DL000046,160101,ELIANE CRISTINA DA CUNHA LEAL,"PAGAMENTO DE DE RESTOS A PAGAR, PELA PRESTAÇÃO DO SERVIÇO EM DEZEMBRO/2024, CTO.020/2021, COM VIGÊNCIA EM 16/04/2025","R$ 6,598.52"
2025160101OB00044,15/01/2025,2025160101DL000034,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DE DEZEMBRO/24 RESTO A PAGAR.,"R$ 17,486.91"
2025160101OB00045,15/01/2025,2025160101DL000034,160101,LUIZ GERALDO FERREIRA CARDOSO,IR.,R$ 881.69
