OrdemBancaria,DatadoPagamento,DocumentodeLiquidacao,CodigoUnidadeGestora,NomeUsuarioQueCriou,Finalidade,Valor
2026160101OB00030,14/01/2026,2026160101DL000003,160101,ELIANE CRISTINA DA CUNHA LEAL,"PAGAMENTO EM RESTOS A PAGAR NÃO PROCESSADOS, REFERENTE A PRESTAÇÃO DE SERVIÇO NO MÊS DE DEZEMBRO/2025 ESCOLAS: EEE JÚLIA PASSARINHO, EEEM OSVAL0DINA MUNIZ, ESCOLA AGROTÉCNICA, EEE MAGALHÃES BARATA, EEEM ABRAÃO SIMÃO JATENE E SECRETARIA DE ESTADO DE EDUCAÇÃO",R$ 320.58
2026160101OB00063,14/01/2026,2026160101DL000004,160101,RODRIGO LIMA ARAUJO FERREIRA,IRRF S/NFs 1029 E 1030,"R$ 15,979.39"
2026160101OB00091,14/01/2026,2026160101DL000004,160101,RODRIGO LIMA ARAUJO FERREIRA,IRRF S/NFs 1029 E 1030,"-R$ 15,979.39"
2026160101OB00336,15/01/2026,2026160101DL000011,160101,FRANCISCO CARLOS COSTA DA SILVA,PAGAMENTO EM RESTOS NÃO PROCESSADO DE DEZEMBRO/25 CTO.014/2024,"R$ 11,450.46"
2026160101OB00341,15/01/2026,2026160101DL000011,160101,FRANCISCO CARLOS COSTA DA SILVA,IR DE DEZEMBRO/25,"R$ 2,859.54"
2026160101OB00366,15/01/2026,2026160101DL000002,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DEZ/25 RESTO NÂO PROCESSADO,"R$ 12,294.99"
2026160101OB00374,15/01/2026,2026160101DL000012,160101,FRANCISCO CARLOS COSTA DA SILVA,PAGAMENTO EM RESTOS A PAGA NÃO PROCESSADO DEZEMBRO/25 CTO.039/2010 EEFM.PRATINHA II,"R$ 21,218.31"
2026160101OB00377,15/01/2026,2026160101DL000010,160101,FRANCISCO CARLOS COSTA DA SILVA,PAGAMENTO EN RESTOS A PAGAR NÃO PROCESSADO DE DEZEMBRO/25 CTO.001/2015 EEEF.SANTO AFONSO,"R$ 23,923.16"
2026160101OB00379,15/01/2026,2026160101DL000001,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DE DEZ/25 RESTO A PAGAR NÂO PROCESSADO,"R$ 6,092.04"
2026160101OB00382,15/01/2026,2026160101DL000001,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DE IMPOSTO DE RENDA DEZ/25.,R$ 730.10
2026160101OB00407,16/01/2026,2026160101DL000026,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DEZ/25 RESTO A PAGAR NÃO PROCESSADO.,R$ 692.51
2026160101OB00409,16/01/2026,2026160101DL000025,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DEZ/25 RESTO A PAGAR NÂO PROCESSADO,"R$ 1,107.30"
2026160101OB00410,16/01/2026,2026160101DL000024,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DEZ/25 RESTO A PAGAR NÃO PROCESSADO.,"R$ 1,260.00"
2026160101OB00411,16/01/2026,2026160101DL000023,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DEZ/25 RESTO A PAGAR NÂO PROCESSSADOS.,R$ 909.83
2026160101OB00412,16/01/2026,2026160101DL000022,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DEZ/25 RESTO A PAGAR NÂO PROCESSADOS.,"R$ 2,001.44"
2026160101OB00413,16/01/2026,2026160101DL000029,160101,FRANCISCO CARLOS COSTA DA SILVA,PAGAMENTO EM RESTOS APAGAR NÃO PROCESSADO DEDEZEMBRO/25CTO.073/2020 SOME DE ABAETETUBA,R$ 898.08
2026160101OB00414,16/01/2026,2026160101DL000018,160101,FRANCISCO CARLOS COSTA DA SILVA,PAGAMENTO EM RESTOS APAGAR NÃO PROCESSADO DEDEZEMBRO/25CTO.025/2010 EE.BENTO XV,"R$ 21,852.94"
2026160101OB00415,16/01/2026,2026160101DL000020,160101,FRANCISCO CARLOS COSTA DA SILVA,PAGAMENTO EM RESTOS A PAGAR NÃO PROCESSADO DEDEZEMBRO/25CTO.024/2021 SOME DE MOJU,R$ 846.67
2026160101OB00416,16/01/2026,2026160101DL000019,160101,FRANCISCO CARLOS COSTA DA SILVA,PAGAMENTO EM RESTOS A PAGAR NÃO PROCESSADO DEDEZEMBRO/25CTO.095/2019 SOME DE ABAETETUBA,R$ 779.51
2026160101OB00417,16/01/2026,2026160101DL000030,160101,FRANCISCO CARLOS COSTA DA SILVA,PAGAMENTO EM RESTOS A PAGAR NÃO PROCESSADO DEDEZEMBRO/25CTO.115/2022 SOME DE ABAETETUBA,R$ 625.39
2026160101OB00418,16/01/2026,2026160101DL000027,160101,FRANCISCO CARLOS COSTA DA SILVA,PAGAMENTO EM RESTOS A PAGAR NÃO PROCESSADO DEDEZEMBRO/25CTO.025/2021 SOME DE MOJU,R$ 681.12
2026160101OB00419,16/01/2026,2026160101DL000028,160101,FRANCISCO CARLOS COSTA DA SILVA,PAGAMENTO EM RESTOS A PAGAR NÃO PROCESSADO DEDEZEMBRO/25CTO.033/2013 SOME DE ABAETETUBA,R$ 535.54
2026160101OB00420,16/01/2026,2026160101DL000017,160101,FRANCISCO CARLOS COSTA DA SILVA,PAGAMENTO EM RESTOS A PAGAR NÃO PROCESSADO DEDEZEMBRO/25CTO.014/2011 EE.CRISTO RETENTOR,"R$ 11,137.21"
2026160101OB00421,16/01/2026,2026160101DL000013,160101,FRANCISCO CARLOS COSTA DA SILVA,PAGAMENTO EM RESTOS A PAGAR NÃO PROCESSADO DEDEZEMBRO/25CTO.058/2017 SOME DE MONTE ALEGRE,R$ 365.66
2026160101OB00423,16/01/2026,2026160101DL000014,160101,FRANCISCO CARLOS COSTA DA SILVA,PAGAMENTO EM RESTOS A PAGAR NÃO PROCESSADO DEDEZEMBRO/25CTO.075/2020 EE.GONÇALVES DIAS,"R$ 15,265.26"
2026160101OB00424,16/01/2026,2026160101DL000014,160101,FRANCISCO CARLOS COSTA DA SILVA,IR DE DEZEMBRO/25,"R$ 4,306.54"
2026160101OB00428,16/01/2026,2026160101DL000039,160101,ELIANE CRISTINA DA CUNHA LEAL,"PAGAMENTO EM RESTOS A PAGAR NÃO PROCESSADOS EM 2025, REFERENTE AO SERVIÇO DE TELEFONIA FIXA, NO MÊS DE DEZEMBRO/2025, CTO 028/2024 - FAT.: 000000018","R$ 73,374.23"
2026160101OB00429,16/01/2026,2026160101DL000040,160101,ELIANE CRISTINA DA CUNHA LEAL,"PAGAMENTO EM RESTOS A PAGAR NÃO PROCESSADOS, REFERENTE AO MÊS DEZEMBRO/2025 - CTO. 157/2018 - SOME/ MOJU",R$ 397.49
2026160101OB00430,16/01/2026,2026160101DL000038,160101,FRANCISCO CARLOS COSTA DA SILVA,PAGAMENTO EM RESTOS A PAGAR NÃO PROCESSADO DEDEZEMBRO/25CTO.215/2017 SOME DE ABAETETUBA,R$ 981.47
2026160101OB00431,16/01/2026,2026160101DL000037,160101,FRANCISCO CARLOS COSTA DA SILVA,PAGAMENTO EM RESTOS A PAGAR NÃO PROCESSADO DEDEZEMBRO/25CTO.045/2021 EEF.CELINA DEL TETTO,"R$ 15,701.74"
2026160101OB00432,16/01/2026,2026160101DL000036,160101,FRANCISCO CARLOS COSTA DA SILVA,PAGAMENTO EM RESTOS A PAGAR NÃO PROCESSADO DEDEZEMBRO/25CTO.034/2021 SOME DE MOJU,R$ 819.37
2026160101OB00433,16/01/2026,2026160101DL000032,160101,FRANCISCO CARLOS COSTA DA SILVA,PAGAMENTO EM RESTOS A PAGAR NÃO PROCESSADO DEDEZEMBRO/25CTO.028/2025 EEFM PRESIDENTE CASTELO BRANCO,"R$ 13,000.00"
2026160101OB00434,16/01/2026,2026160101DL000033,160101,FRANCISCO CARLOS COSTA DA SILVA,PAGAMENTO EM RESTOS A PAGAR NÃO PROCESSADO DEDEZEMBRO/25CTO.031/2025 DRE DE BELÉM,"R$ 6,875.71"
2026160101OB00435,16/01/2026,2026160101DL000033,160101,FRANCISCO CARLOS COSTA DA SILVA,IR DE DEZEMBRO/25,"R$ 1,124.29"
2026160101OB00436,16/01/2026,2026160101DL000016,160101,GENNYSON CLAUDIO PINTO BARBOSA,PGTO. REF. NF15412.CONTRATO 010/2025.DEZEMBRO/2025,"R$ 26,665.83"
2026160101OB00437,16/01/2026,2026160101DL000016,160101,GENNYSON CLAUDIO PINTO BARBOSA,PGTO. RET. INSS. NF.15412.,"R$ 2,792.35"
